id,autor,nacionalidad,epoca,tipo_autor,sentimiento,emocion_tag,frase_motivacional,cancion_recomendada,artista_cancion,genero_musical,año_cancion,por_que_combina
658,Lord Byron,Inglaterra,Siglo XIX,Poeta (Romanticismo),Pasión y rebeldía,pasión rebelde,Ella camina en belleza como la noche de climas despejados y cielos estrellados. Toda virtud y oscuridad se encuentran en su rostro.,Wonderful Tonight,Eric Clapton,Rock / Blues,1977,Ambos celebran la belleza de una mujer amada con asombro reverente — viéndola resplandecer en un momento particular.
659,Alfred Lord Tennyson,Inglaterra,Siglo XIX,Poeta,Pérdida y perseverancia,perseverancia,Luchar — buscar — encontrar — y no ceder. Esa es la única filosofía que necesito para enfrentar cualquier pérdida.,Don't Stop Believin',Journey,Rock,1981,Ambos transmiten una determinación inquebrantable de seguir adelante — nunca rendirse aunque el camino sea incierto.
660,Robert Browning,Inglaterra,Siglo XIX,Poeta,Ambición y aspiración,aspiración,El alcance de un hombre debe exceder su agarre — ¿para qué sirve un cielo si no podemos aspirar siempre hacia él?,Don't Stop Me Now,Queen,Rock,1978,Ambos celebran la ambición desbordante como motor de vida — aspirar siempre más allá de lo que parece posible alcanzar.
661,Matthew Arnold,Inglaterra,Siglo XIX,Poeta,Fe y duda victoriana,duda existencial,El mar de fe que antes rodeaba el mundo entero ahora se retira con un rugido melancólico hacia bordes desnudos.,The Sound of Silence,Simon & Garfunkel,Folk rock,1964,Ambos lamentan la pérdida de certezas espirituales colectivas — el vacío que deja la fe cuando comienza a desaparecer.
662,Gerard Manley Hopkins,Inglaterra,Siglo XIX,Poeta,Naturaleza y divinidad,asombro divino,El mundo está cargado de la grandeza de Dios. Brillará como el destello de papel de aluminio sacudido si prestás atención.,What a Wonderful World,Louis Armstrong,Jazz,1967,Ambos encuentran lo divino y maravilloso impregnando cada rincón del mundo natural cuando se observa con atención plena.
663,Thomas Hardy,Inglaterra,Siglo XIX-XX,Poeta / Novelista,Destino y melancolía rural,destino melancólico,El presente que vemos ahora se convertirá en pasado antes de que termine de pronunciarse esta misma frase.,Time,Pink Floyd,Progressive rock,1973,Ambos reflexionan sobre la naturaleza fugaz e implacable del tiempo que convierte todo presente en pasado constantemente.
664,Christina Rossetti,Inglaterra,Siglo XIX,Poeta,Amor y renuncia femenina,renuncia amorosa,Recuérdame cuando me haya ido lejos — hacia la tierra silenciosa donde ya no podrás sostenerme de la mano.,Tears in Heaven,Eric Clapton,Soft rock / Blues,1992,Ambos abordan la despedida y el recuerdo después de la pérdida con una ternura serena que no niega el dolor.
665,Dante Gabriel Rossetti,Inglaterra,Siglo XIX,Poeta / Pintor (Prerrafaelita),Belleza y deseo,belleza prerrafaelita,Pinté y escribí buscando la misma belleza absoluta — un ideal que la realidad cotidiana rara vez logra alcanzar.,La Vie en Rose,Édith Piaf,Jazz / Chanson,1947,Ambos buscan capturar una belleza idealizada que transforma la percepción ordinaria del mundo en algo extraordinario.
666,Algernon Charles Swinburne,Inglaterra,Siglo XIX,Poeta,Musicalidad y exceso,musicalidad poética,Dejé que el sonido de las palabras me llevara más allá del significado — la música del lenguaje también es su propio mensaje.,Bohemian Rhapsody,Queen,Rock / Opera,1975,Ambos priorizan la experiencia sonora y emocional desbordante por encima de la coherencia narrativa convencional.
667,A.E. Housman,Inglaterra,Siglo XIX-XX,Poeta,Juventud y muerte temprana,juventud efímera,El cerezo más hermoso ahora está cargado de flores junto al camino para mirar este año en la temporada blanca de Pascua.,Forever Young,Alphaville,Synth-pop,1984,Ambos celebran la fugacidad de la juventud y la belleza — apreciando intensamente lo que sabemos que no durará para siempre.
668,Rupert Brooke,Inglaterra,Siglo XX,Poeta (Guerra),Sacrificio en guerra,sacrificio bélico,Si muero piensa solo esto de mí — que hay algún rincón de tierra extranjera que es para siempre Inglaterra.,The Last Post,Tradicional militar,Música militar,Tradicional,Ambos honran el sacrificio de soldados jóvenes en la guerra — dignidad y memoria ante la pérdida temprana de vidas.
669,Wilfred Owen,Inglaterra,Siglo XX,Poeta (Guerra),Horror de la primera guerra mundial,horror bélico,Dulce y honorable es morir por la patria — esa vieja mentira que repetimos mientras los jóvenes mueren gaseados en las trincheras.,War Pigs,Black Sabbath,Heavy metal,1970,Ambos desmantelan la glorificación romántica de la guerra exponiendo su horror real y deshumanizante sin filtros.
670,Siegfried Sassoon,Inglaterra,Siglo XX,Poeta (Guerra),Trauma de guerra,trauma bélico,Vi hombres jóvenes envejecer en una sola noche de combate. La guerra roba el tiempo que nunca podrá ser devuelto.,Zombie,The Cranberries,Alternative rock,1994,Ambos denuncian directamente el costo psicológico devastador de la guerra sobre quienes son enviados a combatirla.
671,Edward Thomas,Inglaterra,Siglo XX,Poeta (Guerra),Naturaleza inglesa y guerra,naturaleza y conflicto,Adlestrop — ese nombre recuerdo. Era el calor de un día de junio cuando el tren se detuvo inesperadamente allí.,The River,Bruce Springsteen,Rock,1980,Ambos encuentran significado profundo en momentos aparentemente menores que la memoria transforma en algo permanente.
672,W.H. Auden,Inglaterra / Estados Unidos,Siglo XX,Poeta,Amor y política del siglo XX,amor político,Debemos amarnos unos a otros o morir. No hay alternativa intermedia en este siglo marcado por tanta violencia.,Imagine,John Lennon,Rock / Pop,1971,Ambos presentan el amor universal como única alternativa viable frente a la violencia y división del mundo moderno.
673,Stephen Spender,Inglaterra,Siglo XX,Poeta,Generación de los treinta,compromiso generacional,Pienso continuamente en aquellos que fueron verdaderamente grandes — los que desde el vientre recordaron el alma de la historia.,The Times They Are A-Changin',Bob Dylan,Folk,1964,Ambos honran a quienes lucharon por cambios históricos significativos — inspirando a las generaciones siguientes a continuar esa lucha.
674,Louis MacNeice,Irlanda / Inglaterra,Siglo XX,Poeta,Identidad anglo-irlandesa,identidad dividida,Nací entre dos islas que se odian un poco entre sí. Mi identidad nunca pudo elegir un solo lado por completo.,Englishman in New York,Sting,Pop / Jazz,1987,Ambos exploran identidades formadas en la frontera entre culturas en conflicto — pertenencia compleja sin resolución simple.
675,Philip Larkin,Inglaterra,Siglo XX,Poeta,Desencanto y cotidianidad inglesa,desencanto cotidiano,La vida es primero aburrimiento — luego miedo. Pero entre esos dos extremos también hay momentos que valen la pena.,Mad World,Tears for Fears,Synth-pop,1982,Ambos capturan con honestidad cruda el desencanto de la vida moderna sin caer en el pesimismo completo o la negación.
676,Ted Hughes,Inglaterra,Siglo XX,Poeta laureado,Naturaleza salvaje y violencia,naturaleza violenta,El halcón se posa en lo alto de los bosques. Sus ojos cerrados contienen toda la creación bajo sus párpados.,Eye of the Tiger,Survivor,Rock,1982,Ambos celebran una fuerza salvaje e instintiva — poder natural que no necesita justificarse ante nadie ni nada.
677,Seamus Heaney,Irlanda,Siglo XX-XXI,Poeta (Nobel),Tierra irlandesa y memoria,memoria irlandesa,Entre mi dedo y mi pulgar descansa la pluma cómoda. Excavaré con ella como mi padre excavaba la tierra con la pala.,The River,Bruce Springsteen,Rock,1980,Ambos honran el trabajo de generaciones anteriores transformándolo en arte — continuidad familiar a través de oficios distintos.
678,Eavan Boland,Irlanda,Siglo XX-XXI,Poeta,Mujer e historia irlandesa,mujer irlandesa,Las mujeres de la historia irlandesa rara vez tienen estatuas. Escribo para que finalmente ocupen el espacio que merecen.,Run the World (Girls),Beyoncé,Pop,2011,Ambas exigen reconocimiento histórico para mujeres tradicionalmente excluidas de narrativas nacionales dominadas por hombres.
679,Paul Muldoon,Irlanda del Norte,Siglo XX-XXI,Poeta,Conflicto norirlandés,conflicto político,Crecí entre bombas y check points en Belfast. Mi poesía no puede evitar cargar ese peso aunque intente hablar de otras cosas.,Sunday Bloody Sunday,U2,Post-punk / Rock,1983,Ambos confrontan directamente la violencia política en Irlanda del Norte — testimonio artístico de un conflicto profundamente doloroso.
680,Derek Mahon,Irlanda del Norte,Siglo XX-XXI,Poeta,Exilio y vuelta a casa,exilio voluntario,Dejé Irlanda del Norte buscando paz — pero la paz que encontré afuera siempre tuvo el sabor de la culpa por haberme ido.,Coming Home,Leon Bridges,Soul,2015,Ambos exploran la complejidad emocional de dejar un lugar de conflicto — alivio y culpa mezclados en la distancia.
681,Michael Longley,Irlanda del Norte,Siglo XX-XXI,Poeta,Naturaleza y conflicto norirlandés,naturaleza en conflicto,Escribo sobre flores y pájaros mientras a mi alrededor explotan bombas. La belleza también debe sobrevivir en tiempos violentos.,Big Yellow Taxi,Joni Mitchell,Folk,1970,Ambos insisten en la importancia de proteger y celebrar la belleza natural incluso en medio de crisis y conflictos humanos.
682,Ciaran Carson,Irlanda del Norte,Siglo XX-XXI,Poeta,Belfast fragmentada,ciudad fragmentada,Belfast es una ciudad de calles que cambian de nombre según quién las camine. Mi poema intenta mapear esa fragmentación.,Streets of Philadelphia,Bruce Springsteen,Rock,1993,Ambos retratan ciudades marcadas por divisiones profundas — intentando encontrar y nombrar un sentido de identidad compartida.
683,Medbh McGuckian,Irlanda del Norte,Siglo XX-XXI,Poeta,Maternidad y política irlandesa,maternidad política,Ser madre en Irlanda del Norte significaba criar hijos mientras el mundo afuera explotaba en violencia constante.,Mother Earth,Within Temptation,Symphonic metal,2000,Ambas exploran la maternidad como acto de protección y esperanza incluso dentro de circunstancias políticas extremadamente violentas.
684,Sinéad Morrissey,Irlanda del Norte,Siglo XXI,Poeta laureada,Industria y memoria norirlandesa,memoria industrial,Los astilleros de Belfast construyeron el Titanic — y también construyeron generaciones enteras de trabajadores orgullosos de su oficio.,Allentown,Billy Joel,Rock,1982,Ambos honran la dignidad de comunidades industriales — el orgullo del trabajo manual transmitido entre generaciones de obreros.
685,Leontia Flynn,Irlanda del Norte,Siglo XXI,Poeta contemporánea,Generación posconflicto,generación de paz,Crecí después del acuerdo de paz — heredando un país que mis padres todavía no terminan de entender completamente como pacífico.,A Change Is Gonna Come,Sam Cooke,Soul,1964,Ambos celebran transiciones hacia tiempos más pacíficos — generaciones que heredan esperanza después de períodos de gran conflicto.
686,Patrick Kavanagh,Irlanda,Siglo XX,Poeta,Campo irlandés y lo sagrado,sacralidad rural,Los charcos de barro en mi campo también reflejan estrellas. Lo sagrado no necesita catedrales — solo necesita atención.,Fields of Gold,Sting,Pop / Folk,1993,Ambos encuentran lo sagrado y trascendente en paisajes rurales humildes — la naturaleza ordinaria revelando algo extraordinario.
687,Austin Clarke,Irlanda,Siglo XX,Poeta,Catolicismo y culpa irlandesa,culpa religiosa,Crecí cargando la culpa católica de mi isla. Escribir fue mi forma de negociar con esa carga sin abandonarla del todo.,Hallelujah,Leonard Cohen,Folk / Rock,1984,Ambos exploran tensiones complejas entre fe espiritualidad y culpa — buscando lo sagrado dentro de su propia imperfección humana.
688,Brendan Kennelly,Irlanda,Siglo XX-XXI,Poeta,Humor y profundidad irlandesa,humor profundo,Los irlandeses sabemos reír en los funerales porque la risa y el duelo siempre estuvieron entrelazados en nuestra cultura.,Don't Worry Be Happy,Bobby McFerrin,A capella / Pop,1988,"Ambos celebran el humor como mecanismo cultural válido de afrontar el dolor — la risa como compañera del duelo, no su negación."
689,Thomas Kinsella,Irlanda,Siglo XX-XXI,Poeta,Hambruna irlandesa y memoria,memoria de hambruna,La gran hambruna vive todavía en la memoria colectiva irlandesa. Algunas heridas históricas tardan generaciones enteras en cerrar.,The Living Years,Mike + The Mechanics,Soft rock,1988,Ambos exploran cómo traumas históricos colectivos persisten generacionalmente — heridas que requieren mucho tiempo para sanar completamente.
690,Nuala Ní Dhomhnaill,Irlanda,Siglo XX-XXI,Poeta (Gaélico),Lengua gaélica y feminismo,lengua materna gaélica,Escribo en gaélico porque esa lengua antigua todavía contiene formas de sentir que el inglés colonial nunca podrá capturar.,Mother Tongue,MIKA,Pop,2009,Ambos celebran el idioma materno como vehículo único e irremplazable de identidad cultural y emocional profunda.
691,Michael Hartnett,Irlanda,Siglo XX,Poeta (Bilingüe),Elección entre inglés y gaélico,elección lingüística,Elegí escribir en gaélico aunque eso significara menos lectores. Algunas decisiones se toman por amor — no por conveniencia práctica.,Redemption Song,Bob Marley,Reggae,1980,Ambos priorizan la autenticidad cultural y espiritual sobre el éxito comercial o la conveniencia práctica inmediata.
692,Paula Meehan,Irlanda,Siglo XX-XXI,Poeta laureada,Dublín y clase trabajadora,clase trabajadora dublinesa,Crecí en los proyectos de vivienda social de Dublín. Mi poesía nunca olvida de dónde vengo ni a quién le debo todo.,Allentown,Billy Joel,Rock,1982,Ambos dignifican experiencias de clase trabajadora urbana — orgullo en los orígenes humildes que formaron su identidad y arte.
693,Eiléan Ní Chuilleanáin,Irlanda,Siglo XX-XXI,Poeta,Monasterios y silencio irlandés,silencio contemplativo,Visité monasterios abandonados donde el silencio todavía guarda ecos de siglos de oración. Algunos lugares retienen su sacralidad para siempre.,Ave Maria,Andrea Bocelli,Clásico / Ópera,1999,Ambos buscan y honran espacios de silencio sagrado — lugares donde lo trascendente todavía puede sentirse profundamente presente.
694,Vona Groarke,Irlanda,Siglo XX-XXI,Poeta,Domesticidad y poesía,domesticidad poética,Encontré poesía profunda en doblar la ropa lavada y preparar la cena. Lo doméstico también merece ser nombrado con cuidado.,Home,Edward Sharpe and the Magnetic Zeros,Indie folk,2009,Ambos celebran la vida doméstica cotidiana como espacio legítimo de significado profundo — sin necesidad de grandes gestos épicos.
695,Colm Tóibín,Irlanda,Siglo XX-XXI,Poeta / Novelista,Migración irlandesa-americana,migración irlandesa,Brooklyn se convirtió en mi segunda Irlanda — un lugar donde aprendí que el hogar también puede reconstruirse en otra orilla.,Coming Home,Diddy feat. Skylar Grey,Hip-hop / Pop,2010,Ambos exploran cómo la idea de hogar puede expandirse y reconstruirse a través de la migración sin perder su esencia original.
696,Frank McGuinness,Irlanda,Siglo XX-XXI,Poeta / Dramaturgo,Masculinidad gay irlandesa,identidad gay irlandesa,Crecí gay en una Irlanda católica que apenas tenía palabras para nombrar lo que yo sentía. Tuve que inventar mi propio idioma.,Same Love,Macklemore ft. Mary Lambert,Hip-hop / Pop,2012,Ambos celebran identidades queer que tuvieron que abrirse camino en contextos culturales y religiosos tradicionalmente hostiles.
697,Pat Boran,Irlanda,Siglo XX-XXI,Poeta,Editorial y comunidad poética,comunidad literaria,Dedicar la vida a publicar la poesía de otros también es una forma de servicio — la literatura necesita guardianes generosos.,Lean On Me,Bill Withers,Soul / R&B,1972,Ambos celebran el valor del apoyo mutuo y la generosidad comunitaria — sostener a otros como forma esencial de contribución.
698,Theo Dorgan,Irlanda,Siglo XX-XXI,Poeta,Mar y navegación irlandesa,navegación marina,Navegué el Atlántico en un barco pequeño y aprendí que el mar enseña humildad de una forma que ningún libro logra igualar.,Sailing,Christopher Cross,Soft rock,1980,Ambos encuentran en la navegación marina lecciones de humildad y libertad que trascienden lo que cualquier enseñanza terrestre podría ofrecer.
699,Gerald Dawe,Irlanda del Norte,Siglo XX-XXI,Poeta,Belfast y memoria personal,memoria personal urbana,Cada esquina de Belfast guarda un recuerdo personal mío entrelazado con la historia política violenta de toda la ciudad.,Streets of Philadelphia,Bruce Springsteen,Rock,1993,Ambos entrelazan memoria personal íntima con la historia más amplia de sus ciudades marcadas por conflicto y transformación.
700,Bernard O'Donoghue,Irlanda,Siglo XX-XXI,Poeta,Emigración y nostalgia rural,nostalgia de emigrante,Dejé el campo irlandés por Oxford — pero en cada poema que escribo todavía puedo oler el heno recién cortado de mi infancia.,Country Roads,John Denver,Country / Folk,1971,Ambos cantan con nostalgia profunda a paisajes rurales de la infancia — el campo natal que permanece vivo en la memoria sensorial.
701,Margaret Atwood,Canadá,Siglo XX-XXI,Poeta / Novelista,Feminismo distópico canadiense,feminismo distópico,Espero que sobrevivas — y que cuentes la historia que viviste para que otros aprendan de lo que casi se pierde.,Survivor,Destiny's Child,R&B / Pop,2001,Ambas celebran la supervivencia femenina ante sistemas opresivos — sobrevivir como acto de resistencia y testimonio.
702,Leonard Cohen,Canadá,Siglo XX-XXI,Poeta / Músico,Espiritualidad y deseo,deseo espiritual,Hay una grieta en todo — así es como entra la luz. La imperfección también puede ser el camino hacia lo sagrado.,Hallelujah,Leonard Cohen,Folk / Rock,1984,Leonard Cohen escribió e interpretó esta canción — su propia poesía musical sobre encontrar lo sagrado en lo imperfecto.
703,Anne Carson,Canadá,Siglo XX-XXI,Poeta,Mito griego y dolor contemporáneo,dolor mitológico,Eros es dulce-amargo. El deseo siempre lleva dentro su propia contradicción desde que los griegos lo nombraron así.,Wicked Game,Chris Isaak,Alternative / Blues rock,1989,Ambos exploran el deseo como fuerza contradictoria que duele y deleita simultáneamente sin poder separarse del todo.
704,Michael Ondaatje,Sri Lanka / Canadá,Siglo XX-XXI,Poeta / Novelista,Memoria y migración asiática-canadiense,memoria migrante,Vine de Ceilán siendo niño. Mi memoria de ese lugar se volvió más vívida cuanto más lejos viví de él físicamente.,Coming Home,Leon Bridges,Soul,2015,Ambos exploran cómo la distancia geográfica puede intensificar paradójicamente la memoria y el amor por el lugar de origen.
705,Dionne Brand,Trinidad / Canadá,Siglo XX-XXI,Poeta laureada,Diáspora negra canadiense,diáspora negra,Toronto se convirtió en mi hogar — pero el Caribe sigue siendo el idioma en que mi cuerpo todavía sueña cada noche.,Coming Home,Diddy feat. Skylar Grey,Hip-hop / Pop,2010,Ambos exploran cómo se construye un nuevo hogar sin abandonar completamente la conexión emocional con el lugar de origen.
706,Lorna Crozier,Canadá,Siglo XX-XXI,Poeta,Praderas canadienses,vastedad de praderas,Las praderas de Saskatchewan son tan planas que el cielo parece ocupar el noventa por ciento de todo lo que se puede ver.,Holocene,Bon Iver,Indie folk,2011,Ambos capturan la sensación de pequeñez humilde ante la inmensidad de paisajes vastos y aparentemente infinitos.
707,Patrick Lane,Canadá,Siglo XX-XXI,Poeta,Naturaleza salvaje canadiense,naturaleza salvaje,El lobo que vi en el bosque me miró sin miedo. En sus ojos entendí que la naturaleza no necesita nuestra aprobación.,Eye of the Tiger,Survivor,Rock,1982,Ambos celebran una fuerza salvaje e independiente — poder natural que existe plenamente sin necesitar validación humana.
708,P.K. Page,Canadá,Siglo XX-XXI,Poeta,Surrealismo canadiense,surrealismo del norte,En el norte helado los sueños se congelan y luego se derriten en primavera revelando formas que nadie esperaba ver.,Holocene,Bon Iver,Indie folk,2011,Ambos evocan paisajes nórdicos fríos y vastos donde lo onírico y lo real se entremezclan de manera natural y silenciosa.
709,Al Purdy,Canadá,Siglo XX,Poeta,Identidad rural canadiense,identidad rural canadiense,Soy de Ontario rural — y aunque viajé el mundo entero siempre regreso a escribir sobre estos campos que me formaron.,Country Roads,John Denver,Country / Folk,1971,Ambos cantan con cariño genuino a sus raíces rurales — el lugar de origen como ancla emocional permanente en la vida.
710,Margaret Avison,Canadá,Siglo XX,Poeta,Fe y percepción,fe perceptiva,Aprender a ver de nuevo después de la conversión espiritual cambió completamente la forma en que percibo cada detalle cotidiano.,Amazing Grace,Tradicional,Gospel,Tradicional,Ambos celebran transformaciones espirituales profundas que cambian radicalmente la manera de percibir el mundo entero.
711,Earle Birney,Canadá,Siglo XX,Poeta,Geografía canadiense vasta,geografía vasta,Canadá es demasiado grande para amarlo completo — solo podés amar los pedazos específicos que realmente conociste de cerca.,Holocene,Bon Iver,Indie folk,2011,Ambos reflexionan sobre cómo la inmensidad geográfica solo puede comprenderse y amarse a través de fragmentos íntimos específicos.
712,Anne Michaels,Canadá,Siglo XX-XXI,Poeta / Novelista,Holocausto y memoria canadiense,memoria del holocausto,Los fragmentos de piedra que sobreviven contienen más historia que cualquier monumento construido después para reemplazarlos.,The Living Years,Mike + The Mechanics,Soft rock,1988,Ambos exploran cómo objetos y fragmentos pequeños retienen memoria histórica de eventos devastadores que marcaron generaciones.
713,Don McKay,Canadá,Siglo XX-XXI,Poeta,Ecología y poesía canadiense,ecología profunda,Cada especie que se extingue se lleva consigo un poema entero que el mundo nunca tendrá oportunidad de escuchar completo.,Big Yellow Taxi,Joni Mitchell,Folk,1970,Ambos lamentan la pérdida ecológica con urgencia poética — cada extinción como una pérdida irreparable de belleza y significado.
714,Roo Borson,Canadá,Siglo XX-XXI,Poeta,Atención sensorial canadiense,atención sensorial,El olor de la lluvia sobre el pavimento caliente de verano me devuelve instantáneamente a un verano específico de mi infancia.,In My Life,The Beatles,Rock / Pop,1965,Ambos exploran cómo experiencias sensoriales específicas pueden desbloquear instantáneamente memorias emocionales profundas del pasado.
715,Karen Solie,Canadá,Siglo XXI,Poeta contemporánea,Praderas y petróleo canadiense,industria y paisaje,Las torres de petróleo en mi provincia natal compiten visualmente con el atardecer más hermoso que jamás haya visto.,Allentown,Billy Joel,Rock,1982,Ambos exploran tensiones entre industria y belleza natural en paisajes transformados por la actividad económica humana.
716,Christian Bök,Canadá,Siglo XXI,Poeta experimental,Poesía generativa y ciencia,experimentación científica,Escribí un poema usando solo el código genético de una bacteria. La ciencia y la poesía no son tan diferentes como crees.,Mr. Roboto,Styx,Rock / New wave,1983,Ambos exploran la intersección fascinante entre tecnología ciencia y creatividad artística de maneras innovadoras y poco convencionales.
717,Rita Wong,Canadá / China,Siglo XXI,Poeta,Agua y justicia ambiental,justicia del agua,El agua que bebemos hoy ya pasó por mil cuerpos antes que el nuestro. Cuidarla es cuidar a toda la cadena de vida.,Big Yellow Taxi,Joni Mitchell,Folk,1970,Ambos defienden la protección de recursos naturales esenciales — el agua y la tierra como herencia compartida que merece cuidado colectivo.
718,Fred Wah,Canadá / China,Siglo XX-XXI,Poeta,Identidad chino-canadiense,identidad chino-canadiense,Soy mitad chino mitad canadiense — y en esa mitad y mitad encontré finalmente una identidad completa y propia.,Same Love,Macklemore ft. Mary Lambert,Hip-hop / Pop,2012,Ambos celebran identidades mixtas como completas en sí mismas — sin necesidad de elegir o jerarquizar entre las partes que las componen.
719,Joy Kogawa,Canadá / Japón,Siglo XX-XXI,Poeta,Internamiento japonés-canadiense,internamiento histórico,Mi familia fue internada durante la guerra solo por ser de origen japonés. Esa injusticia histórica todavía vive en mi escritura.,Strange Fruit,Billie Holiday,Jazz,1939,Ambos dan testimonio de injusticias históricas basadas en el origen étnico — denunciando discriminación sistemática con dignidad artística.
720,Souvankham Thammavongsa,Laos / Canadá,Siglo XXI,Poeta,Refugiados laosianos en Canadá,refugio laosiano,Mis padres llegaron como refugiados de Laos sin hablar el idioma. Cada palabra que aprendí en inglés también honra su sacrificio.,9 to 5,Dolly Parton,Country / Pop,1980,Ambos dignifican el sacrificio de padres trabajadores migrantes — gratitud profunda hacia quienes lo dieron todo para dar oportunidades a sus hijos.
721,Patrick Anderson,Canadá / Reino Unido,Siglo XX,Poeta,Identidad bisexual canadiense temprana,identidad bisexual,Amé a hombres y mujeres en una época que apenas tenía palabras para nombrar lo que yo sentía con total naturalidad.,Same Love,Macklemore ft. Mary Lambert,Hip-hop / Pop,2012,Ambos celebran identidades sexuales que tuvieron que abrirse camino en épocas donde el lenguaje disponible era profundamente limitado.
722,bpNichol,Canadá,Siglo XX,Poeta (Concretismo),Poesía visual canadiense,experimentación visual canadiense,Las letras también tienen forma y peso visual — jugué con eso toda mi vida porque el significado no es solo semántico.,Alphabet Street,Prince,Pop / Funk,1988,Ambos exploran la dimensión visual y lúdica del lenguaje — donde la forma de las letras también comunica algo más allá del significado.
723,Steven Heighton,Canadá,Siglo XX-XXI,Poeta / Novelista,Boxeo y resistencia física,resistencia física,Boxeé profesionalmente antes de ser poeta. Ambas disciplinas exigen la misma resistencia ante el dolor y el cansancio extremo.,Eye of the Tiger,Survivor,Rock,1982,Ambos celebran la disciplina y resistencia física necesaria para superar desafíos extremos — cuerpo y voluntad trabajando juntos.
724,Adam Dickinson,Canadá,Siglo XXI,Poeta contemporáneo,Ciencia y cuerpo humano,ciencia corporal,Mi propio cuerpo es un ecosistema de bacterias y químicos. Escribir sobre ciencia también puede ser profundamente íntimo y personal.,Mr. Roboto,Styx,Rock / New wave,1983,Ambos exploran cómo la ciencia y la tecnología pueden ser temas de profunda reflexión personal y emocional más allá de lo técnico.
725,Liz Howard,Canadá (Ojibwe),Siglo XXI,Poeta indígena,Identidad ojibwe contemporánea,identidad indígena urbana,Soy ojibwe creciendo en la ciudad — mi conexión con la tierra ancestral existe aunque viva lejos de la reserva donde nací mi familia.,Colors of the Wind,Vanessa Williams,Pop / Soundtrack,1995,Ambos exploran conexiones ancestrales con la tierra que persisten incluso en contextos urbanos alejados del territorio tradicional.
726,Marilyn Dumont,Canadá (Métis),Siglo XX-XXI,Poeta indígena,Identidad métis,identidad métis,Soy métis — ni completamente indígena ni completamente europea según las categorías que otros inventaron para definirme.,Same Love,Macklemore ft. Mary Lambert,Hip-hop / Pop,2012,Ambos celebran identidades mixtas que desafían categorías rígidas impuestas externamente — completas y válidas en su propia complejidad.
727,Gregory Scofield,Canadá (Métis),Siglo XX-XXI,Poeta indígena,Identidad métis queer,identidad métis queer,Soy métis y soy gay — dos identidades que algunos creían imposibles de combinar pero que en mí conviven sin ningún conflicto.,Same Love,Macklemore ft. Mary Lambert,Hip-hop / Pop,2012,Ambos celebran intersecciones de identidad que algunos consideran contradictorias — pero que coexisten naturalmente sin necesidad de elegir.
728,Lee Maracle,Canadá (Sto:lo),Siglo XX-XXI,Poeta indígena,Mujer indígena y colonialismo,mujer indígena,Las mujeres indígenas cargamos el peso de cinco siglos de colonialismo — y aun así seguimos contando nuestras propias historias con orgullo.,Run the World (Girls),Beyoncé,Pop,2011,Ambas celebran la resiliencia femenina ante sistemas de opresión históricos — fuerza y orgullo a pesar de siglos de injusticia.
729,Louise Bernice Halfe,Canadá (Cree),Siglo XX-XXI,Poeta indígena,Internado residencial canadiense,trauma de internado,Sobreviví la escuela residencial donde intentaron borrar mi idioma cree. Hoy escribo en ese mismo idioma que casi me quitaron.,Redemption Song,Bob Marley,Reggae,1980,Ambos transforman experiencias de opresión cultural sistemática en arte de resistencia — recuperando lo que intentaron arrebatarles.
730,Jordan Abel,Canadá (Nisga'a),Siglo XXI,Poeta indígena experimental,Apropiación cultural y poesía,deconstrucción cultural,Desarmé textos coloniales sobre mi propio pueblo para mostrar cómo nos representaron mal durante más de un siglo entero.,This Is America,Childish Gambino,Hip-hop,2018,Ambos confrontan directamente narrativas coloniales y racistas — exponiendo cómo fueron construidas para exigir su revisión y corrección.
731,Billy-Ray Belcourt,Canadá (Cree),Siglo XXI,Poeta indígena queer,Identidad cree queer contemporánea,identidad cree queer,Soy cree y soy queer en una época donde finalmente puedo escribir sobre ambas identidades sin tener que esconder ninguna de las dos.,Born This Way,Lady Gaga,Pop,2011,Ambos celebran identidades interseccionales con orgullo absoluto — viviendo abiertamente lo que generaciones anteriores tuvieron que ocultar.
732,Katherena Vermette,Canadá (Métis),Siglo XX-XXI,Poeta indígena,Mujeres indígenas desaparecidas,justicia para mujeres desaparecidas,Demasiadas mujeres indígenas desaparecen sin que nadie investigue lo suficiente. Escribo para que sus nombres no se olviden jamás.,Strange Fruit,Billie Holiday,Jazz,1939,Ambos dan testimonio de violencias sistemáticas contra comunidades marginadas — exigiendo que sus víctimas no caigan en el olvido colectivo.
733,Tenille Campbell,Canadá (Dene/Métis),Siglo XXI,Poeta indígena,Deseo y sexualidad indígena,deseo indígena contemporáneo,El deseo indígena contemporáneo también merece ser celebrado sin vergüenza — somos mucho más que solo trauma histórico para contar.,Cravings,Aurora,Art pop / Indie,2022,Ambas reivindican el deseo y la sexualidad femenina indígena como parte legítima y celebrable de la identidad contemporánea completa.
734,Smaro Kamboureli,Grecia / Canadá,Siglo XX-XXI,Poeta,Diáspora griega canadiense,diáspora griega,Crecí griega en Canadá — cargando un Mediterráneo entero dentro mientras afuera nevaba sin parar durante meses completos.,Mi Gente,J Balvin,Reggaeton,2018,Ambos celebran identidades diaspóricas que mantienen viva su cultura de origen mientras construyen una nueva vida en otro territorio.
